,coeff
percentage_of_time_with_abnormal_long_term_variability,0.21552626559780863
prolongued_decelerations,0.2136316691074172
baseline value,0.15202525118497862
abnormal_short_term_variability,0.14793055906266278
histogram_variance,0.08091438776639291
histogram_max,0.0778894843356185
histogram_min,0.0768138480360027
histogram_tendency,0.050381460978809876
severe_decelerations,0.04360200977752453
mean_value_of_long_term_variability,0.03267645655815181
histogram_number_of_zeroes,0.008743691990542785
fetal_movement,0.003926024300875141
mean_value_of_short_term_variability,0.0014700678198556018
accelerations,0.000532417431539707
histogram_number_of_peaks,-0.008628678769220053
light_decelerations,-0.010201645871248203
histogram_width,-0.02240931726825204
histogram_mean,-0.054789818639847304
histogram_mode,-0.06056801908596395
uterine_contractions,-0.06742825046663985
histogram_median,-0.1619438485977515
